,zipcode,price_mean,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,m²_living,m²_lot,dormitory_type,age_build,footage,basement,renovation,level,condition_type,year,month,season
29,98001.0,281872.41782729805,5402100045.0,2015-03-11,189950.0,4.0,2.0,1910.0,4225.0,1.0,0.0,0.0,4.0,6.0,910.0,1000.0,1919.0,0.0,47.3084,-122.234,177.439,392.5025,house,build <1955,Less than 100m²,yes,no,Low,regular,2015.0,3.0,winter
30,98001.0,281872.41782729805,3751602329.0,2014-06-27,215500.0,2.0,1.0,1220.0,15600.0,1.0,0.0,0.0,3.0,6.0,1220.0,0.0,1972.0,0.0,47.2853,-122.265,113.338,1449.24,apartament,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,6.0,spring
31,98001.0,281872.41782729805,3356404330.0,2014-11-19,206000.0,4.0,2.0,1720.0,7560.0,1.0,0.0,0.0,3.0,7.0,1720.0,0.0,1959.0,0.0,47.2845,-122.25,159.78799999999998,702.324,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,11.0,fall
32,98001.0,281872.41782729805,3874000240.0,2014-12-02,210000.0,3.0,2.0,1440.0,10111.0,1.0,0.0,0.0,3.0,7.0,1440.0,0.0,1963.0,0.0,47.345,-122.283,133.77599999999998,939.3118999999999,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,12.0,fall
34,98001.0,281872.41782729805,5651500140.0,2014-06-17,272000.0,3.0,2.0,1380.0,7476.0,1.0,0.0,0.0,3.0,7.0,1380.0,0.0,1989.0,0.0,47.3336,-122.272,128.202,694.5204,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,6.0,spring
35,98001.0,281872.41782729805,7967600069.0,2014-11-17,185000.0,3.0,1.0,980.0,9135.0,1.0,0.0,0.0,3.0,7.0,980.0,0.0,1955.0,0.0,47.3496,-122.289,91.042,848.6415,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,11.0,fall
37,98001.0,281872.41782729805,3354400060.0,2015-05-01,238000.0,2.0,1.0,1088.0,8453.0,1.0,0.0,0.0,3.0,6.0,1088.0,0.0,1952.0,2009.0,47.2685,-122.231,101.0752,785.2837,apartament,build <1955,Less than 100m²,no,yes,Low,regular,2015.0,5.0,spring
38,98001.0,281872.41782729805,5413200140.0,2014-10-21,213550.0,3.0,2.0,1580.0,8541.0,2.0,0.0,0.0,3.0,7.0,1580.0,0.0,1990.0,0.0,47.3334,-122.289,146.78199999999998,793.4589,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,10.0,fall
39,98001.0,281872.41782729805,5556800260.0,2015-03-05,230000.0,4.0,2.0,1440.0,10800.0,1.0,0.0,0.0,4.0,7.0,1440.0,0.0,1967.0,0.0,47.3417,-122.283,133.77599999999998,1003.3199999999999,house,build > 1955,Less than 100m²,no,no,Low,regular,2015.0,3.0,winter
40,98001.0,281872.41782729805,128500260.0,2014-05-08,262000.0,4.0,2.0,2020.0,6236.0,2.0,0.0,0.0,3.0,7.0,2020.0,0.0,2002.0,0.0,47.2796,-122.247,187.658,579.3244,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,5.0,spring
41,98001.0,281872.41782729805,303000445.0,2014-05-23,175000.0,2.0,1.0,1300.0,44431.0,1.0,0.0,0.0,5.0,6.0,1300.0,0.0,1958.0,0.0,47.327,-122.267,120.77,4127.6399,apartament,build > 1955,Less than 100m²,no,no,Low,good,2014.0,5.0,spring
42,98001.0,281872.41782729805,8856004400.0,2014-09-02,235000.0,4.0,1.0,1610.0,24000.0,1.0,0.0,0.0,3.0,6.0,1610.0,0.0,1947.0,0.0,47.2751,-122.252,149.569,2229.6,house,build <1955,Less than 100m²,no,no,Low,regular,2014.0,9.0,summer
43,98001.0,281872.41782729805,7696600240.0,2014-10-23,165000.0,3.0,1.0,1280.0,7742.0,1.0,0.0,0.0,3.0,7.0,1280.0,0.0,1973.0,0.0,47.3323,-122.276,118.91199999999999,719.2318,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,10.0,fall
44,98001.0,281872.41782729805,1687000240.0,2014-12-10,276000.0,3.0,2.0,2495.0,4400.0,2.0,0.0,0.0,3.0,8.0,2495.0,0.0,2007.0,0.0,47.2877,-122.283,231.78549999999998,408.76,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,12.0,fall
45,98001.0,281872.41782729805,1312920060.0,2014-12-12,265000.0,3.0,2.0,1630.0,10969.0,2.0,0.0,0.0,3.0,7.0,1630.0,0.0,1991.0,0.0,47.3305,-122.285,151.427,1019.0201,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,12.0,fall
46,98001.0,281872.41782729805,1687000200.0,2015-04-10,259000.0,3.0,2.0,2153.0,4400.0,2.0,0.0,0.0,3.0,8.0,2153.0,0.0,2007.0,0.0,47.2872,-122.283,200.0137,408.76,house,build > 1955,Less than 100m²,no,no,Low,regular,2015.0,4.0,spring
47,98001.0,281872.41782729805,2366800055.0,2014-12-03,225000.0,3.0,2.0,1740.0,10050.0,2.0,0.0,0.0,3.0,7.0,1740.0,0.0,1989.0,0.0,47.2671,-122.236,161.646,933.645,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,12.0,fall
50,98001.0,281872.41782729805,3750605349.0,2015-03-04,210500.0,3.0,1.0,1220.0,9600.0,1.0,0.0,0.0,5.0,7.0,1220.0,0.0,1958.0,0.0,47.2622,-122.282,113.338,891.8399999999999,house,build > 1955,Less than 100m²,no,no,Low,good,2015.0,3.0,winter
51,98001.0,281872.41782729805,3750603732.0,2015-01-28,276000.0,3.0,1.0,2240.0,9200.0,1.0,0.0,0.0,4.0,7.0,1440.0,800.0,1968.0,0.0,47.2635,-122.284,208.096,854.68,house,build > 1955,Less than 100m²,yes,no,Low,regular,2015.0,1.0,winter
53,98001.0,281872.41782729805,3751604169.0,2015-02-24,279000.0,2.0,2.0,1770.0,10534.0,1.0,0.0,0.0,3.0,8.0,1210.0,560.0,2003.0,0.0,47.2773,-122.276,164.433,978.6085999999999,apartament,build > 1955,Less than 100m²,yes,no,Low,regular,2015.0,2.0,winter
55,98001.0,281872.41782729805,3751600176.0,2015-03-06,196000.0,3.0,1.0,1000.0,18568.0,1.0,0.0,0.0,3.0,6.0,1000.0,0.0,1989.0,0.0,47.2976,-122.271,92.89999999999999,1724.9672,house,build > 1955,Less than 100m²,no,no,Low,regular,2015.0,3.0,winter
57,98001.0,281872.41782729805,3356407665.0,2014-09-24,180000.0,3.0,1.0,1330.0,16000.0,1.0,0.0,0.0,3.0,7.0,1330.0,0.0,1978.0,0.0,47.28,-122.257,123.557,1486.3999999999999,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,9.0,summer
58,98001.0,281872.41782729805,2721049059.0,2014-05-28,225000.0,3.0,2.0,2030.0,24829.0,1.0,0.0,0.0,4.0,7.0,1220.0,810.0,1979.0,0.0,47.2718,-122.291,188.587,2306.6141,house,build > 1955,Less than 100m²,yes,no,Low,regular,2014.0,5.0,spring
59,98001.0,281872.41782729805,3356403820.0,2014-12-05,115000.0,2.0,1.0,1000.0,16524.0,1.0,0.0,0.0,3.0,5.0,1000.0,0.0,1913.0,0.0,47.2841,-122.255,92.89999999999999,1535.0796,apartament,build <1955,Less than 100m²,no,no,Low,regular,2014.0,12.0,fall
60,98001.0,281872.41782729805,5647900930.0,2014-12-15,195000.0,3.0,1.0,1070.0,22489.0,1.0,0.0,0.0,3.0,7.0,1070.0,0.0,1967.0,0.0,47.3278,-122.262,99.40299999999999,2089.2281,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,12.0,fall
63,98001.0,281872.41782729805,7585000110.0,2015-03-26,201700.0,3.0,1.0,1010.0,9576.0,1.0,0.0,0.0,4.0,7.0,1010.0,0.0,1967.0,0.0,47.2956,-122.272,93.829,889.6103999999999,house,build > 1955,Less than 100m²,no,no,Low,regular,2015.0,3.0,winter
64,98001.0,281872.41782729805,5515600088.0,2014-11-21,194820.0,3.0,1.0,1100.0,32700.0,1.0,0.0,0.0,3.0,7.0,1100.0,0.0,1967.0,0.0,47.3186,-122.289,102.19,3037.83,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,11.0,fall
66,98001.0,281872.41782729805,1311000600.0,2014-09-25,250000.0,5.0,1.0,2320.0,7700.0,1.0,0.0,0.0,5.0,7.0,1290.0,1030.0,1962.0,0.0,47.3426,-122.285,215.528,715.3299999999999,house,build > 1955,Less than 100m²,yes,no,Low,good,2014.0,9.0,summer
67,98001.0,281872.41782729805,304100090.0,2014-07-22,215000.0,4.0,2.0,1500.0,5393.0,2.0,0.0,0.0,3.0,7.0,1500.0,0.0,1999.0,0.0,47.3378,-122.262,139.35,501.0097,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,7.0,summer
68,98001.0,281872.41782729805,3751603173.0,2014-06-04,212500.0,3.0,1.0,920.0,14400.0,1.0,0.0,0.0,4.0,7.0,920.0,0.0,1977.0,0.0,47.2816,-122.269,85.468,1337.76,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,6.0,spring
71,98001.0,281872.41782729805,1311300100.0,2015-01-15,221000.0,3.0,1.0,1250.0,7280.0,1.0,0.0,0.0,3.0,7.0,1250.0,0.0,1965.0,0.0,47.3414,-122.286,116.125,676.312,house,build > 1955,Less than 100m²,no,no,Low,regular,2015.0,1.0,winter
72,98001.0,281872.41782729805,3751606513.0,2014-06-30,263400.0,4.0,2.0,1360.0,60548.0,1.0,0.0,0.0,3.0,6.0,960.0,400.0,1960.0,0.0,47.2718,-122.265,126.344,5624.9092,house,build > 1955,Less than 100m²,yes,no,Low,regular,2014.0,6.0,spring
73,98001.0,281872.41782729805,4013800131.0,2014-08-07,267500.0,2.0,1.0,1747.0,12250.0,2.0,0.0,0.0,4.0,6.0,1747.0,0.0,1948.0,0.0,47.3282,-122.285,162.2963,1138.0249999999999,apartament,build <1955,Less than 100m²,no,no,Low,regular,2014.0,8.0,summer
74,98001.0,281872.41782729805,1312200080.0,2014-05-28,224000.0,3.0,1.0,1560.0,7300.0,1.0,0.0,0.0,4.0,7.0,1040.0,520.0,1964.0,0.0,47.3427,-122.281,144.924,678.17,house,build > 1955,Less than 100m²,yes,no,Low,regular,2014.0,5.0,spring
77,98001.0,281872.41782729805,7237590010.0,2014-06-05,214100.0,2.0,2.0,1150.0,2064.0,2.0,0.0,0.0,3.0,7.0,1150.0,0.0,2004.0,0.0,47.3516,-122.292,106.835,191.7456,apartament,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,6.0,spring
82,98001.0,281872.41782729805,1311500020.0,2014-07-03,198000.0,4.0,1.0,2080.0,7200.0,1.0,0.0,0.0,4.0,7.0,1050.0,1030.0,1966.0,0.0,47.3385,-122.282,193.232,668.88,house,build > 1955,Less than 100m²,yes,no,Low,regular,2014.0,7.0,summer
83,98001.0,281872.41782729805,5556900080.0,2014-09-26,169000.0,3.0,1.0,910.0,7686.0,1.0,0.0,0.0,3.0,7.0,910.0,0.0,1969.0,0.0,47.3405,-122.288,84.539,714.0294,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,9.0,summer
84,98001.0,281872.41782729805,4031000290.0,2015-04-08,195000.0,3.0,1.0,1310.0,9554.0,1.0,0.0,0.0,3.0,7.0,960.0,350.0,1962.0,0.0,47.2949,-122.285,121.699,887.5666,house,build > 1955,Less than 100m²,yes,no,Low,regular,2015.0,4.0,spring
85,98001.0,281872.41782729805,3329520170.0,2014-05-21,250000.0,3.0,2.0,1170.0,7258.0,1.0,0.0,0.0,3.0,7.0,1170.0,0.0,1984.0,0.0,47.3333,-122.266,108.693,674.2682,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,5.0,spring
86,98001.0,281872.41782729805,7696600020.0,2015-01-28,260000.0,4.0,1.0,1540.0,7300.0,2.0,0.0,0.0,3.0,7.0,1540.0,0.0,1973.0,0.0,47.3317,-122.276,143.066,678.17,house,build > 1955,Less than 100m²,no,no,Low,regular,2015.0,1.0,winter
87,98001.0,281872.41782729805,9262800294.0,2014-09-22,260000.0,3.0,1.0,2170.0,10018.0,1.0,0.0,0.0,4.0,7.0,1630.0,540.0,1978.0,0.0,47.3087,-122.264,201.593,930.6722,house,build > 1955,Less than 100m²,yes,no,Low,regular,2014.0,9.0,summer
90,98001.0,281872.41782729805,6181400470.0,2015-01-27,215000.0,4.0,2.0,2130.0,4496.0,2.0,0.0,0.0,3.0,7.0,2130.0,0.0,2004.0,0.0,47.3041,-122.28,197.87699999999998,417.6784,house,build > 1955,Less than 100m²,no,no,Low,regular,2015.0,1.0,winter
91,98001.0,281872.41782729805,6085000130.0,2015-03-21,230000.0,3.0,1.0,1140.0,9639.0,1.0,0.0,0.0,4.0,7.0,1140.0,0.0,1967.0,0.0,47.3112,-122.265,105.90599999999999,895.4630999999999,house,build > 1955,Less than 100m²,no,no,Low,regular,2015.0,3.0,winter
93,98001.0,281872.41782729805,321049127.0,2014-10-28,277500.0,3.0,2.0,1820.0,19602.0,1.0,0.0,0.0,4.0,7.0,1820.0,0.0,1964.0,0.0,47.331,-122.286,169.078,1821.0258,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,10.0,fall
94,98001.0,281872.41782729805,2005950050.0,2014-05-27,260000.0,3.0,2.0,1630.0,8018.0,1.0,0.0,0.0,3.0,7.0,1630.0,0.0,2003.0,0.0,47.2638,-122.243,151.427,744.8722,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,5.0,spring
97,98001.0,281872.41782729805,8001210170.0,2014-08-22,275000.0,4.0,2.0,2060.0,7350.0,1.0,0.0,0.0,3.0,7.0,1210.0,850.0,1978.0,0.0,47.3424,-122.275,191.374,682.8149999999999,house,build > 1955,Less than 100m²,yes,no,Low,regular,2014.0,8.0,summer
98,98001.0,281872.41782729805,2214800630.0,2014-11-05,239950.0,3.0,2.0,1560.0,8280.0,2.0,0.0,0.0,4.0,7.0,1560.0,0.0,1979.0,0.0,47.3393,-122.259,144.924,769.212,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,11.0,fall
99,98001.0,281872.41782729805,3751605432.0,2014-05-13,239950.0,3.0,1.0,1900.0,33888.0,1.0,0.0,0.0,4.0,5.0,1900.0,0.0,1942.0,0.0,47.2738,-122.271,176.51,3148.1951999999997,house,build <1955,Less than 100m²,no,no,Low,regular,2014.0,5.0,spring
101,98001.0,281872.41782729805,9262800255.0,2014-08-19,280000.0,2.0,1.0,1894.0,52769.0,1.0,0.0,0.0,4.0,6.0,1520.0,374.0,1936.0,0.0,47.3088,-122.273,175.9526,4902.2401,apartament,build <1955,Less than 100m²,yes,no,Low,regular,2014.0,8.0,summer
102,98001.0,281872.41782729805,321049090.0,2014-06-26,254000.0,5.0,2.0,2080.0,16117.0,1.0,0.0,0.0,5.0,7.0,1740.0,340.0,1959.0,0.0,47.3424,-122.289,193.232,1497.2693,house,build > 1955,Less than 100m²,yes,no,Low,good,2014.0,6.0,spring
105,98001.0,281872.41782729805,7895500290.0,2015-03-30,265000.0,4.0,1.0,1580.0,8468.0,2.0,0.0,0.0,4.0,7.0,1580.0,0.0,1971.0,0.0,47.3336,-122.281,146.78199999999998,786.6772,house,build > 1955,Less than 100m²,no,no,Low,regular,2015.0,3.0,winter
106,98001.0,281872.41782729805,4012800050.0,2014-05-21,175000.0,3.0,1.0,1230.0,13056.0,1.0,0.0,0.0,4.0,7.0,1230.0,0.0,1962.0,0.0,47.3171,-122.279,114.267,1212.9024,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,5.0,spring
107,98001.0,281872.41782729805,304100010.0,2014-12-09,269500.0,4.0,2.0,1700.0,7056.0,2.0,0.0,0.0,3.0,7.0,1700.0,0.0,1999.0,0.0,47.3385,-122.262,157.93,655.5024,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,12.0,fall
109,98001.0,281872.41782729805,6084601060.0,2014-07-18,270000.0,3.0,2.0,1770.0,8640.0,1.0,0.0,0.0,3.0,7.0,1420.0,350.0,1986.0,0.0,47.326,-122.273,164.433,802.656,house,build > 1955,Less than 100m²,yes,no,Low,regular,2014.0,7.0,summer
111,98001.0,281872.41782729805,3329530480.0,2014-07-01,241000.0,3.0,2.0,1770.0,7000.0,1.0,0.0,0.0,3.0,7.0,1770.0,0.0,1986.0,0.0,47.3321,-122.261,164.433,650.3,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,7.0,summer
113,98001.0,281872.41782729805,1311200460.0,2014-06-18,265000.0,4.0,1.0,2050.0,7100.0,1.0,0.0,0.0,3.0,7.0,1050.0,1000.0,1963.0,0.0,47.3395,-122.28,190.445,659.5899999999999,house,build > 1955,Less than 100m²,yes,no,Low,regular,2014.0,6.0,spring
115,98001.0,281872.41782729805,6084600660.0,2014-07-18,263000.0,3.0,2.0,1720.0,6847.0,2.0,0.0,0.0,3.0,7.0,1720.0,0.0,1987.0,0.0,47.3266,-122.272,159.78799999999998,636.0862999999999,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,7.0,summer
117,98001.0,281872.41782729805,7967200290.0,2014-05-30,190000.0,3.0,2.0,1590.0,11745.0,1.0,0.0,0.0,3.0,7.0,1090.0,500.0,1978.0,0.0,47.3553,-122.28,147.71099999999998,1091.1105,house,build > 1955,Less than 100m²,yes,no,Low,regular,2014.0,5.0,spring
118,98001.0,281872.41782729805,6143600580.0,2014-05-05,184000.0,3.0,1.0,1490.0,10125.0,1.0,0.0,0.0,4.0,7.0,1490.0,0.0,1962.0,0.0,47.3075,-122.284,138.421,940.6125,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,5.0,spring
119,98001.0,281872.41782729805,8856004328.0,2015-03-27,255000.0,4.0,2.0,2163.0,5882.0,2.0,0.0,0.0,3.0,7.0,2163.0,0.0,2006.0,0.0,47.2736,-122.251,200.9427,546.4377999999999,house,build > 1955,Less than 100m²,no,no,Low,regular,2015.0,3.0,winter
120,98001.0,281872.41782729805,4031700210.0,2014-11-17,220000.0,3.0,1.0,1600.0,10548.0,1.0,0.0,0.0,4.0,7.0,1600.0,0.0,1962.0,0.0,47.2925,-122.284,148.64,979.9091999999999,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,11.0,fall
121,98001.0,281872.41782729805,1311400120.0,2014-08-01,160000.0,3.0,1.0,1610.0,7392.0,1.0,0.0,0.0,4.0,7.0,1610.0,0.0,1964.0,0.0,47.3413,-122.28,149.569,686.7167999999999,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,8.0,summer
123,98001.0,281872.41782729805,3750605620.0,2015-03-24,225000.0,3.0,1.0,1580.0,14400.0,1.0,0.0,0.0,4.0,7.0,1580.0,0.0,1981.0,0.0,47.2598,-122.281,146.78199999999998,1337.76,house,build > 1955,Less than 100m²,no,no,Low,regular,2015.0,3.0,winter
124,98001.0,281872.41782729805,2214800110.0,2014-08-20,259900.0,4.0,2.0,1560.0,8820.0,1.0,0.0,3.0,3.0,7.0,1060.0,500.0,1979.0,0.0,47.3382,-122.257,144.924,819.3779999999999,house,build > 1955,Less than 100m²,yes,no,Low,regular,2014.0,8.0,summer
125,98001.0,281872.41782729805,1311910300.0,2015-02-04,260000.0,5.0,2.0,2320.0,6375.0,1.0,0.0,0.0,4.0,7.0,1270.0,1050.0,1967.0,0.0,47.3351,-122.282,215.528,592.2375,house,build > 1955,Less than 100m²,yes,no,Low,regular,2015.0,2.0,winter
126,98001.0,281872.41782729805,4463400195.0,2014-07-18,170000.0,2.0,1.0,1280.0,21750.0,1.0,0.0,0.0,5.0,6.0,1280.0,0.0,1912.0,0.0,47.3096,-122.241,118.91199999999999,2020.5749999999998,apartament,build <1955,Less than 100m²,no,no,Low,good,2014.0,7.0,summer
130,98001.0,281872.41782729805,2616700450.0,2014-11-07,248000.0,3.0,1.0,1330.0,9831.0,1.0,0.0,0.0,3.0,7.0,1330.0,0.0,1987.0,0.0,47.3304,-122.277,123.557,913.2999,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,11.0,fall
131,98001.0,281872.41782729805,3876600120.0,2015-04-22,265000.0,3.0,1.0,1780.0,10196.0,1.0,0.0,0.0,4.0,7.0,1270.0,510.0,1967.0,0.0,47.3375,-122.291,165.362,947.2084,house,build > 1955,Less than 100m²,yes,no,Low,regular,2015.0,4.0,spring
132,98001.0,281872.41782729805,5706600150.0,2014-05-28,215000.0,3.0,1.0,1210.0,8075.0,1.0,0.0,0.0,4.0,6.0,1210.0,0.0,1983.0,0.0,47.2666,-122.254,112.40899999999999,750.1675,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,5.0,spring
133,98001.0,281872.41782729805,3751600025.0,2014-05-14,139000.0,3.0,1.0,1100.0,17334.0,1.0,0.0,0.0,3.0,7.0,1100.0,0.0,1978.0,0.0,47.3003,-122.27,102.19,1610.3286,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,5.0,spring
134,98001.0,281872.41782729805,5066400564.0,2014-09-29,199129.0,3.0,1.0,860.0,33664.0,1.0,0.0,0.0,4.0,6.0,860.0,0.0,1955.0,0.0,47.295,-122.275,79.89399999999999,3127.3856,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,9.0,summer
136,98001.0,281872.41782729805,3750607974.0,2014-05-09,280000.0,4.0,2.0,2190.0,14439.0,1.0,0.0,0.0,4.0,7.0,1180.0,1010.0,1977.0,0.0,47.2702,-122.29,203.451,1341.3831,house,build > 1955,Less than 100m²,yes,no,Low,regular,2014.0,5.0,spring
137,98001.0,281872.41782729805,3750603940.0,2014-09-25,240000.0,4.0,1.0,1880.0,9600.0,1.0,0.0,0.0,5.0,7.0,1020.0,860.0,1946.0,0.0,47.2633,-122.281,174.652,891.8399999999999,house,build <1955,Less than 100m²,yes,no,Low,good,2014.0,9.0,summer
138,98001.0,281872.41782729805,2048000330.0,2014-09-26,214000.0,3.0,2.0,1600.0,2231.0,2.0,0.0,0.0,3.0,7.0,1600.0,0.0,2003.0,0.0,47.3314,-122.29,148.64,207.2599,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,9.0,summer
139,98001.0,281872.41782729805,1687000210.0,2014-07-25,275000.0,3.0,2.0,2497.0,4400.0,2.0,0.0,0.0,3.0,8.0,2497.0,0.0,2007.0,0.0,47.2873,-122.283,231.97129999999999,408.76,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,7.0,summer
140,98001.0,281872.41782729805,1311100490.0,2015-02-25,274000.0,5.0,1.0,1950.0,8720.0,1.0,0.0,0.0,3.0,7.0,1050.0,900.0,1962.0,0.0,47.3381,-122.289,181.155,810.088,house,build > 1955,Less than 100m²,yes,no,Low,regular,2015.0,2.0,winter
141,98001.0,281872.41782729805,5556800150.0,2014-05-15,204700.0,4.0,2.0,1670.0,9987.0,1.0,0.0,0.0,3.0,7.0,1670.0,0.0,1967.0,0.0,47.3406,-122.284,155.143,927.7923,house,build > 1955,Less than 100m²,no,no,Low,regular,2014.0,5.0,spring
